192.126.180.122,8080,,,squid/3.1.9,text/html,NA,US,47.6319,-122.2968
173.23.64.153,8080,,,GoAhead-Webs,text/html,NA,US,41.5798,-90.625
190.157.218.205,8080,,,,,SA,CO,4.6492,-74.0628
201.174.114.254,8080,,,OoklaServer,text/html; charset=iso-8859-1,NA,MX,31.7333,-106.4833
72.48.254.221,8080,,,,,NA,US,31.9767,-102.1306
201.103.151.209,8080,,,,text/html,NA,MX,19.3642,-99.1856
212.84.127.38,8080,,,,text/html,EU,GB,51.0167,-0.7333
189.198.93.157,8080,,,,,NA,MX,19.43,-99.13
146.255.62.210,8080,,,,,EU,AT,48.2,16.3667
201.153.229.211,8080,,,,text/html,NA,MX,19.43,-99.13
189.249.27.111,8080,,,,text/html,NA,MX,19.4342,-99.1386
72.28.147.214,8080,,,,,NA,US,25.7743,-80.1937
201.124.210.126,8080,,,rhttpd,text/html,NA,MX,19.4342,-99.1386
201.221.172.127,8080,,,,,SA,CO,10.9639,-74.7964
96.2.35.66,8080,,,,,NA,US,43.5506,-96.6363
24.117.133.5,8080,,,,,NA,US,46.7921,-96.8827
162.212.57.9,8080,,,Apache/2.2.15 (CentOS),text/html; charset=iso-8859-1,NA,US,30.3106,-97.7227
170.130.59.108,8080,,,squid/3.1.9,text/html,NA,US,36.0312,-115.0739
69.29.20.166,8080,,,micro_httpd,text/html,NA,US,41.4528,-82.1824
199.36.95.202,8080,,,,text/html,NA,US,47.4235,-120.3103
109.169.25.71,8080,,,squid/2.7.STABLE9,text/html,EU,GB,51.5,-0.13
69.146.175.109,8080,,,GoAhead-Webs,text/html,NA,US,37.6789,-106.3534
75.24.91.118,8080,,,uhttpd/1.0.0,text/html; charset="UTF-8",NA,US,38.0,-97.0
189.245.178.242,8080,,,,text/html,NA,MX,19.4342,-99.1386
69.181.244.62,8080,,,Netwave IP Camera,text/html,NA,US,37.6786,-122.4764
5.196.106.136,8080,,,Apache/2.2.15 (CentOS),text/html; charset=iso-8859-1,EU,FR,48.86,2.35
24.52.41.245,8080,,,,,NA,US,45.2789,-92.9852
91.126.52.73,8080,,,,text/html,EU,ES,40.4,-3.6833
181.54.214.91,8080,,,,,SA,CO,4.6492,-74.0628
189.135.99.81,8080,,,,,NA,MX,19.4342,-99.1386
207.58.136.232,8080,,,,text/html,NA,US,38.9358,-77.1621
181.58.199.170,8080,,,,,SA,CO,4.5981,-74.0758
201.165.131.164,8080,,,,,NA,MX,19.1197,-99.5858
173.27.158.63,8080,,,GoAhead-Webs,text/html,NA,US,41.8445,-90.1887
190.84.104.244,8080,,,,,SA,CO,4.5981,-74.0758
181.53.24.197,8080,,,,,SA,CO,4.5981,-74.0758
72.253.175.96,8080,,,httpd,text/html,NA,US,20.9091,-156.6216
189.245.162.187,8080,,,,text/html,NA,MX,19.4342,-99.1386
108.13.218.115,8080,,,httpd,text/html,NA,US,33.8743,-118.3721
64.15.157.245,8080,,,,text/html,NA,CA,45.5,-73.5833
181.50.161.34,8080,,,,,SA,CO,4.5981,-74.0758
186.92.141.112,8080,,,,,SA,VE,8.0,-66.0
200.118.215.225,8080,,,,,SA,CO,4.5981,-74.0758
189.194.13.87,8080,,,,,NA,MX,19.43,-99.13
177.242.137.117,8080,,,,,NA,MX,20.6097,-100.35
84.236.38.218,8080,,,,,EU,HU,47.4925,19.0514
202.172.31.118,8080,,,Apache,text/html; charset=iso-8859-1,AS,JP,34.6864,135.52
89.150.136.13,8080,,,,,EU,DK,55.4667,8.45
177.20.119.12,8080,,,,,SA,BR,-23.5477,-46.6358
61.115.112.77,8080,,,,,AS,JP,35.45,139.4667
173.31.75.233,8080,,,GoAhead-Webs,text/html,NA,US,32.5443,-84.9208
189.245.120.98,8080,,,,,NA,MX,19.4342,-99.1386
76.168.209.178,8080,,,Apache/0.6.5,,NA,US,33.6189,-117.929
50.82.119.144,8080,,,uhttpd/1.0.0,text/html; charset="UTF-8",NA,US,41.6348,-84.9994
213.131.107.233,8080,,,,text/html,EU,GB,54.5685,-1.7733
70.34.223.134,8080,,,,text/html,NA,US,39.9643,-75.1444
89.47.138.42,8080,,,,text/html,AS,IR,35.6961,51.4231
23.82.27.173,8080,,,,text/html,NA,US,33.6748,-111.9519
190.84.37.94,8080,,,,,SA,CO,4.6492,-74.0628
81.138.10.37,8080,,,,text/html,EU,GB,51.5142,-0.0931
177.228.59.184,8080,,,,,NA,MX,19.2,-96.1333
217.128.85.14,8080,,,httpd,text/html,EU,FR,48.86,2.35
96.2.73.72,8080,,,,,NA,US,45.4647,-98.4865
213.60.97.19,8080,,,,,EU,ES,43.4833,-8.2333
82.158.109.46,8080,,,,,EU,ES,40.4316,-3.6355
177.225.236.211,8080,,,,,NA,MX,25.55,-103.4333
177.226.125.120,8080,,,,,NA,MX,21.1305,-101.671
177.20.104.175,8080,,,,,SA,BR,-23.5477,-46.6358
66.222.189.242,8080,,,,,NA,CA,50.7064,-113.9554
84.123.170.157,8080,,,mini_httpd/1.19 19dec2003,text/html; charset=%s,EU,ES,37.2734,-6.9281
186.84.183.133,8080,,,,,SA,CO,4.6492,-74.0628
83.83.23.22,8080,,,Intoto Http Server v1.0,,EU,NL,52.0283,5.1681
121.169.129.29,8080,,,thttpd/2.25b 29dec2003,text/html; charset=euc-kr,AS,KR,37.57,126.98
187.155.104.172,8080,,,,text/html,NA,MX,21.2125,-87.7417
