95.101.223.110, 80, HTTP/1.0, 400, AkamaiGHost, text/html
216.82.221.96, 80, HTTP/1.0, 200, SonicWALL, 
189.178.27.129, 80, HTTP/1.0, 401, , 
23.96.37.96, 80, HTTP/1.1, 404, Microsoft-IIS/8.0, text/html
68.180.108.232, 80, HTTP/1.1, 401, micro_httpd, text/html
23.73.57.235, 80, HTTP/1.0, 400, AkamaiGHost, text/html
187.174.143.33, 80, HTTP/1.1, 401, cisco-IOS, 
23.204.165.142, 80, HTTP/1.0, 400, AkamaiGHost, text/html
152.7.136.160, 80, HTTP/1.0, 200, , 
187.172.35.245, 80, HTTP/1.0, 401, , 
5.79.9.250, 80, HTTP/1.1, 404, Microsoft-HTTPAPI/2.0, text/html; charset=us-ascii
64.33.148.69, 80, HTTP/1.0, 200, SonicWALL, 
184.27.98.67, 80, HTTP/1.0, 400, AkamaiGHost, text/html
190.250.11.92, 80, HTTP/1.0, 401, , 
50.166.195.29, 80, HTTP/1.1, 200, mini_httpd/1.19 19dec2003, text/html; charset=iso-8859-1
187.158.0.226, 80, HTTP/1.0, 401, , 
65.61.23.186, 80, HTTP/1.1, 404, Microsoft-IIS/5.0, text/html
185.14.29.202, 80, HTTP/1.1, 503, Apache/2.2.15 (CentOS), text/html; charset=UTF-8
23.206.140.154, 80, HTTP/1.0, 400, AkamaiGHost, text/html
92.123.11.21, 80, HTTP/1.0, 400, AkamaiGHost, text/html
191.98.91.91, 80, HTTP/1.1, 200, micro_httpd, text/html
137.224.11.44, 80, HTTP/1.1, 400, , text/html
5.78.86.113, 80, HTTP/1.1, 404, Apache, text/html; charset=UTF-8
8.247.33.123, 80, HTTP/1.1, 404, Footprint 4.10/FPMCP, text/html
5.135.204.97, 80, HTTP/1.1, 200, Apache, text/html; charset=UTF-8
23.63.224.78, 80, HTTP/1.0, 400, AkamaiGHost, text/html
23.88.175.242, 80, HTTP/1.1, 200, Microsoft-IIS/6.0, 
96.7.76.239, 80, HTTP/1.0, 400, AkamaiGHost, text/html
23.208.166.55, 80, HTTP/1.0, 400, AkamaiGHost, text/html
172.233.44.192, 80, HTTP/1.0, 400, AkamaiGHost, text/html
91.183.129.230, 80, HTTP/1.0, 301, , 
23.61.209.235, 80, HTTP/1.0, 400, AkamaiGHost, text/html
172.230.139.75, 80, HTTP/1.0, 400, AkamaiGHost, text/html
216.52.115.80, 80, HTTP/1.1, 302, , 
216.212.85.253, 80, HTTP/1.1, 401, micro_httpd, text/html
71.85.78.166, 80, HTTP/1.0, 200, SonicWALL, 
216.118.88.105, 80, HTTP/1.1, 200, LiteSpeed, text/html
62.72.74.162, 80, HTTP/1.0, 301, , 
184.29.175.151, 80, HTTP/1.0, 400, AkamaiGHost, text/html
41.208.71.9, 80, HTTP/1.1, 200, Cougar/9.6.7600.16564, video/x-ms-asf
128.165.120.125, 80, HTTP/1.0, 302, , 
190.35.181.244, 80, HTTP/1.1, 200, thttpd/2.25b 29dec2003, text/html; charset=UTF-8
23.75.224.152, 80, HTTP/1.0, 400, AkamaiGHost, text/html
90.184.237.113, 80, HTTP/1.1, 200, mini_httpd/1.19 19dec2003, text/html; charset=iso-8859-1
23.75.67.197, 80, HTTP/1.0, 400, AkamaiGHost, text/html
23.14.134.20, 80, HTTP/1.0, 400, AkamaiGHost, text/html
184.28.1.137, 80, HTTP/1.0, 400, AkamaiGHost, text/html
68.207.20.169, 80, HTTP/1.1, 200, , 
96.8.176.161, 80, HTTP/1.1, 401, cisco-IOS, 
185.36.101.189, 80, HTTP/1.1, 404, nginx, text/html
85.13.150.84, 80, HTTP/1.1, 503, Apache, text/html; charset=iso-8859-1
186.195.134.129, 80, HTTP/1.1, 200, Apache/2.2.15, text/html; charset=ISO-8859-1
2.20.145.187, 80, HTTP/1.0, 400, AkamaiGHost, text/html
199.87.112.7, 80, HTTP/1.1, 403, nginx/1.6.0, text/html
169.230.26.152, 80, HTTP/1.1, 200, Apache/2.2.3 (CentOS), text/html; charset=UTF-8
82.150.199.108, 80, HTTP/1.1, 301, , text/html
2.20.135.48, 80, HTTP/1.0, 400, AkamaiGHost, text/html
108.185.99.252, 80, HTTP/1.0, 401, httpd, text/html
75.191.66.30, 80, HTTP/1.1, 200, , 
77.44.55.22, 80, HTTP/1.0, 401, , 
85.187.216.180, 80, HTTP/1.1, 200, nginx/1.7.3, text/html
23.65.7.225, 80, HTTP/1.0, 400, AkamaiGHost, text/html
90.184.98.248, 80, HTTP/1.1, 200, mini_httpd/1.19 19dec2003, text/html; charset=iso-8859-1
98.190.82.228, 80, HTTP/1.1, 200, , 
108.163.207.219, 80, HTTP/1.1, 200, Apache, text/html
187.205.246.220, 80, HTTP/1.0, 401, , 
46.237.82.200, 80, HTTP/1.1, 401, Router, text/html
95.101.249.228, 80, HTTP/1.0, 400, AkamaiGHost, text/html
23.45.169.60, 80, HTTP/1.0, 400, AkamaiGHost, text/html
130.55.54.90, 80, HTTP/1.0, 302, , 
23.225.220.52, 80, HTTP/1.1, 400, , text/html
2.19.152.172, 80, HTTP/1.0, 400, AkamaiGHost, text/html
69.206.29.255, 80, HTTP/1.1, 200, , 
74.240.163.173, 80, HTTP/1.1, 200, Boa/0.94.13, text/html
