201.124.210.126, 8080, HTTP/1.1, 302, rhttpd, text/html
201.221.172.127, 8080, HTTP/1.1, 200, , 
96.2.35.66, 8080, HTTP/1.1, 200, , 
24.117.133.5, 8080, HTTP/1.1, 200, , 
162.212.57.9, 8080, HTTP/1.1, 404, Apache/2.2.15 (CentOS), text/html; charset=iso-8859-1
170.130.59.108, 8080, HTTP/1.0, 400, squid/3.1.9, text/html
69.29.20.166, 8080, HTTP/1.1, 200, micro_httpd, text/html
199.36.95.202, 8080, HTTP/1.0, 200, , text/html
109.169.25.71, 8080, HTTP/1.0, 400, squid/2.7.STABLE9, text/html
69.146.175.109, 8080, HTTP/1.0, 302, GoAhead-Webs, text/html
75.24.91.118, 8080, HTTP/1.0, 404, uhttpd/1.0.0, text/html; charset="UTF-8"
189.245.178.242, 8080, HTTP/1.1, 200, , text/html
69.181.244.62, 8080, HTTP/1.1, 200, Netwave IP Camera, text/html
5.196.106.136, 8080, HTTP/1.1, 404, Apache/2.2.15 (CentOS), text/html; charset=iso-8859-1
24.52.41.245, 8080, HTTP/1.1, 200, , 
91.126.52.73, 8080, HTTP/1.0, 403, , text/html
181.54.214.91, 8080, HTTP/1.1, 200, , 
189.135.99.81, 8080, HTTP/1.0, 200, , 
207.58.136.232, 8080, HTTP/1.0, 403, , text/html
181.58.199.170, 8080, HTTP/1.1, 401, , 
201.165.131.164, 8080, HTTP/1.1, 200, , 
173.27.158.63, 8080, HTTP/1.0, 302, GoAhead-Webs, text/html
190.84.104.244, 8080, HTTP/1.1, 200, , 
181.53.24.197, 8080, HTTP/1.1, 401, , 
72.253.175.96, 8080, HTTP/1.0, 401, httpd, text/html
189.245.162.187, 8080, HTTP/1.1, 200, , text/html
108.13.218.115, 8080, HTTP/1.1, 200, httpd, text/html
64.15.157.245, 8080, HTTP/1.1, 200, , text/html
181.50.161.34, 8080, HTTP/1.1, 200, , 
186.92.141.112, 8080, HTTP/1.0, 200, , 
200.118.215.225, 8080, HTTP/1.1, 401, , 
189.194.13.87, 8080, HTTP/1.1, 200, , 
177.242.137.117, 8080, HTTP/1.1, 200, , 
84.236.38.218, 8080, , , , 
202.172.31.118, 8080, HTTP/1.1, 302, Apache, text/html; charset=iso-8859-1
89.150.136.13, 8080, HTTP/1.0, 401, , 
177.20.119.12, 8080, HTTP/1.1, 302, , 
61.115.112.77, 8080, HTTP/1.0, 401, , 
173.31.75.233, 8080, HTTP/1.0, 302, GoAhead-Webs, text/html
189.245.120.98, 8080, HTTP/1.0, 200, , 
76.168.209.178, 8080, HTTP/1.1, 200, Apache/0.6.5, 
50.82.119.144, 8080, HTTP/1.0, 404, uhttpd/1.0.0, text/html; charset="UTF-8"
213.131.107.233, 8080, HTTP/1.1, 401, , text/html
70.34.223.134, 8080, HTTP/1.0, 403, , text/html
89.47.138.42, 8080, HTTP/1.0, 403, , text/html
23.82.27.173, 8080, HTTP/1.1, 400, , text/html
190.84.37.94, 8080, HTTP/1.1, 401, , 
81.138.10.37, 8080, HTTP/1.1, 401, , text/html
177.228.59.184, 8080, HTTP/1.1, 200, , 
217.128.85.14, 8080, HTTP/1.0, 401, httpd, text/html
96.2.73.72, 8080, HTTP/1.1, 200, , 
213.60.97.19, 8080, HTTP/1.1, 401, , 
82.158.109.46, 8080, HTTP/1.1, 401, , 
177.225.236.211, 8080, HTTP/1.1, 200, , 
177.226.125.120, 8080, HTTP/1.1, 200, , 
177.20.104.175, 8080, HTTP/1.1, 302, , 
66.222.189.242, 8080, HTTP/1.0, 401, , 
